spec,outcome,term,status,coef,se_state_date,pval_state_date,nobs,bootstrap_reps,estimator,pval_wild,inference,analysis_counties,excluded_no_self_loop_counties,exposure_spec
leave_state_out_39,fatal_crashes,cross_driver_distance,ok,0.0003060573080757315,0.00013380513884789374,0.02662565561260169,6984908,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_40,fatal_crashes,own_driver_distance,ok,4.627974620487773e-05,0.0006057859631062362,0.9394214363178179,7129514,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_40,fatal_crashes,cross_driver_distance,ok,0.00032992233251569317,0.0001421970151437142,0.02462895134710942,7129514,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_41,fatal_crashes,own_driver_distance,ok,0.0001443797039039712,0.0005867464348188544,0.8066785693900557,7208390,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_41,fatal_crashes,cross_driver_distance,ok,0.00031234228284179747,0.00013501234468082989,0.025027626936376092,7208390,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_42,fatal_crashes,own_driver_distance,ok,9.823016928120483e-05,0.0005959245101678172,0.8697648291990389,7055020,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_42,fatal_crashes,cross_driver_distance,ok,0.0003286902745952582,0.0001425900979284087,0.025525931332512065,7055020,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_44,fatal_crashes,own_driver_distance,ok,0.00010961161241249548,0.0005893011960276211,0.8532264854052637,7296030,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_44,fatal_crashes,cross_driver_distance,ok,0.0003220344199555115,0.00013901864362094325,0.024846656695590972,7296030,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_45,fatal_crashes,own_driver_distance,ok,7.142868785206184e-05,0.0005959842065191695,0.9051022391569186,7129514,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_45,fatal_crashes,cross_driver_distance,ok,0.0003123141708578296,0.00013507021390559942,0.02509913885951104,7129514,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_46,fatal_crashes,own_driver_distance,ok,0.00011195008867852497,0.0005891464443832533,0.8500941523372445,7296030,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_46,fatal_crashes,cross_driver_distance,ok,0.0003214766656023779,0.00013876988052709065,0.02483876935324598,7296030,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_47,fatal_crashes,own_driver_distance,ok,1.0979125666081038e-05,0.0006283292593094133,0.9861312861772196,7033110,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_47,fatal_crashes,cross_driver_distance,ok,0.00034414319664289445,0.00014758151224581497,0.023950152843369047,7033110,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_48,fatal_crashes,own_driver_distance,ok,-0.00029351776929766857,0.0006426359749467933,0.6499179525669665,6669404,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_48,fatal_crashes,cross_driver_distance,ok,0.0005370389052328234,0.0002093251193724245,0.013479465638191782,6669404,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_49,fatal_crashes,own_driver_distance,ok,7.686785501982027e-05,0.0005982689601813153,0.8983029693400759,7243446,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
leave_state_out_49,fatal_crashes,cross_driver_distance,ok,0.00032420987896040874,0.00013997868853855478,0.024867151834122414,7243446,0,numpy_within_ols,,analytic_only,1668,9,year_matched_acs_and_lodes
