record_type,status,sample,state,model,outcome,term,beta,se,pvalue,n_obs,exposure_mode,input_n,fitted_n,zero_share_input,terms_requested,terms_produced,error_reason,irr,pct_change,expected_fits,produced_fits,expected_terms,produced_terms
fit_status,skipped,spillover_joint,HI,PPML_raw_count,crashes,,,,,,,0.0,0.0,,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,direct_vs_clean,HI,WLS_TWFE,crashes_per_100k,,,,,,,0.0,0.0,,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,ok,spillover_joint,HI,WLS_TWFE,fatals_per_100k,,,,,,,7300.0,7300.0,0.9486301369863014,night_alert|log_spillover_commuters,night_alert|log_spillover_commuters,,,,,,,
fit_status,partial,spillover_joint,HI,PPML_raw_count,fatals,,,,,,,7300.0,1380.0,0.9486301369863014,night_alert|log_spillover_commuters,log_spillover_commuters,missing_coefficient,,,,,,
fit_status,failed,direct_vs_clean,HI,WLS_TWFE,fatals_per_100k,,,,,,,7198.0,0.0,0.9491525423728814,night_alert,,"
            All variables are collinear. Maybe your model specification introduces multicollinearity? If not, please reach out to the package authors!.
            ",,,,,,
fit_status,skipped,spillover_joint,HI,WLS_TWFE,serious_per_100k,,,,,,,0.0,0.0,,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,skipped,spillover_joint,HI,PPML_raw_count,serious_inj,,,,,,,0.0,0.0,,night_alert|log_spillover_commuters,,insufficient_estimable_sample,,,,,,
fit_status,skipped,direct_vs_clean,HI,WLS_TWFE,serious_per_100k,,,,,,,0.0,0.0,,night_alert,,insufficient_estimable_sample,,,,,,
fit_status,partial,spillover_joint,IA,WLS_TWFE,crashes_per_100k,,,,,,,325413.0,325413.0,0.508403167666934,night_alert|log_spillover_commuters,log_spillover_commuters,missing_coefficient,,,,,,
fit_status,partial,spillover_joint,IA,PPML_raw_count,crashes,,,,,,,325413.0,325413.0,0.508403167666934,night_alert|log_spillover_commuters,log_spillover_commuters,missing_coefficient,,,,,,
fit_status,failed,direct_vs_clean,IA,WLS_TWFE,crashes_per_100k,,,,,,,324477.0,0.0,0.5093242356160838,night_alert,,"
            All variables are collinear. Maybe your model specification introduces multicollinearity? If not, please reach out to the package authors!.
            ",,,,,,
fit_status,partial,spillover_joint,IA,WLS_TWFE,fatals_per_100k,,,,,,,325413.0,325413.0,0.9914539369969854,night_alert|log_spillover_commuters,log_spillover_commuters,missing_coefficient,,,,,,
fit_status,partial,spillover_joint,IA,PPML_raw_count,fatals,,,,,,,325413.0,181170.0,0.9914539369969854,night_alert|log_spillover_commuters,log_spillover_commuters,missing_coefficient,,,,,,
fit_status,failed,direct_vs_clean,IA,WLS_TWFE,fatals_per_100k,,,,,,,324477.0,0.0,0.9915032498451354,night_alert,,"
            All variables are collinear. Maybe your model specification introduces multicollinearity? If not, please reach out to the package authors!.
            ",,,,,,
fit_status,partial,spillover_joint,IA,WLS_TWFE,serious_per_100k,,,,,,,325413.0,325413.0,0.9676595587760783,night_alert|log_spillover_commuters,log_spillover_commuters,missing_coefficient,,,,,,
fit_status,partial,spillover_joint,IA,PPML_raw_count,serious_inj,,,,,,,325413.0,304623.0,0.9676595587760783,night_alert|log_spillover_commuters,log_spillover_commuters,missing_coefficient,,,,,,
fit_status,failed,direct_vs_clean,IA,WLS_TWFE,serious_per_100k,,,,,,,324477.0,0.0,0.967862128902819,night_alert,,"
            All variables are collinear. Maybe your model specification introduces multicollinearity? If not, please reach out to the package authors!.
            ",,,,,,
fit_status,partial,spillover_joint,IDCOMPASS,WLS_TWFE,crashes_per_100k,,,,,,,8034.0,8034.0,0.0011202389843166542,night_alert|log_spillover_commuters,log_spillover_commuters,missing_coefficient,,,,,,
fit_status,partial,spillover_joint,IDCOMPASS,PPML_raw_count,crashes,,,,,,,8034.0,8034.0,0.0011202389843166542,night_alert|log_spillover_commuters,log_spillover_commuters,missing_coefficient,,,,,,
